place_x,title,rate_x,vote_x,cal,place_y,rate_y,vote_y
336.0,Bleach: Thousand-Year Blood War,9.2,13835.0,20.698041568094812,2.0,9.2,13923
124.0,Chainsaw Man,8.7,19865.0,20.476713858099387,1.0,8.7,20179
802.0,Cyberpunk: Edgerunners,8.3,47530.0,20.472600950360157,4.0,8.3,47639
764.0,Spy x Family,8.5,24625.0,20.39913206262194,3.0,8.5,24677
945.0,The Legend of Vox Machina,8.4,25233.0,20.33347886523742,7.0,8.4,25257
1695.0,Tales of the Jedi,8.3,20876.0,20.192049340239056,8.0,8.3,20952
8778.0,Prehistoric Planet,8.5,7899.0,19.860933953851966,29.0,8.5,7908
6765.0,Beavis and Butt-Head,7.5,32305.0,19.708546422484165,32.0,8.6,1584
4625.0,My Dress-Up Darling,8.1,8352.0,19.6409906377484,17.0,8.1,8370
4324.0,Don't Hug Me I'm Scared,8.8,3011.0,19.389202065755008,23.0,8.8,3014
11693.0,Sea of Love,6.8,41477.0,19.232903919414717,212.0,8.7,48
1004.0,Blue Lock,8.4,3320.0,19.221759650633317,5.0,8.4,3367
19442.0,Don't Hug Me I'm Scared,8.2,4352.0,19.165507697640088,23.0,8.8,3014
31657.0,The Clown,8.0,5879.0,19.136853559461546,118.0,8.0,5885
5455.0,The Cuphead Show!,7.4,8268.0,19.125338578388746,24.0,7.4,8275
4807.0,I Am Groot,6.7,29170.0,19.110625840462454,21.0,6.7,29218
15541.0,Kotaro Lives Alone,8.4,3048.0,19.031660019432145,63.0,8.4,3054
6023.0,The Boys Presents: Diabolical,6.9,13306.0,18.978530042795605,28.0,6.9,13316
4620.0,Human Resources,7.2,7235.0,18.913404490846123,20.0,7.2,7246
3791.0,Pantheon,8.2,2668.0,18.845584804507293,15.0,8.2,2681
11141.0,Baymax!,7.1,6979.0,18.76658218213014,44.0,7.1,6990
6440.0,Summer Time Rendering,8.3,2163.0,18.676054318751213,26.0,8.3,2173
8170.0,Beavis and Butt-Head,8.6,1583.0,18.519958355898012,32.0,8.6,1584
12910.0,Aoashi,8.1,1837.0,18.306647693930646,57.0,8.1,1843
27950.0,Blink,6.2,8638.0,18.094524000876326,294.0,8.9,9
1122.0,Lookism,7.6,1906.0,18.068365831596587,10.0,7.6,1929
1754.0,Little Demon,6.8,3150.0,18.01548300301471,13.0,6.8,3160
4492.0,Zootopia+,6.8,3176.0,18.003617572459053,19.0,6.8,3189
13900.0,Tekken: Bloodline,6.6,4044.0,18.001801505419465,66.0,6.6,4043
97966.0,The Clown,7.2,5136.0,17.9536576522045,118.0,8.0,5885
111376.0,Shenmue,9.1,1239.0,17.944959986031282,169.0,7.5,463
7734.0,Cars on the Road,7.0,2570.0,17.917395892444976,22.0,7.0,2575
7624.0,Family,7.6,1712.0,17.901843570190064,288.0,8.0,8
16137.0,Tomodachi Game,7.5,1837.0,17.856938289096497,58.0,7.5,1842
11868.0,Lost Ollie,7.8,1493.0,17.85653551148933,40.0,7.8,1493
21881.0,Spriggan,6.5,3975.0,17.856170538712377,73.0,6.8,1131
36451.0,Immortality,6.2,5995.0,17.822676680827726,205.0,7.0,7
44570.0,7 Fates: Chakho,8.4,1151.0,17.77850818229227,150.0,8.4,1151
25755.0,Ice Age: Scrat Tales,7.3,2034.0,17.7642249721564,88.0,7.3,2033
10210.0,Call of the Night,7.5,1589.0,17.726059597515704,39.0,7.5,1594
11757.0,Dead End: Paranormal Park,6.9,2352.0,17.725503755951415,53.0,6.9,2353
4181.0,Bocchi the Rock!,8.6,767.0,17.651511636574387,11.0,8.6,792
14612.0,Lycoris Recoil,7.6,1421.0,17.637618060162808,51.0,7.6,1425
7164.0,The Wingfeather Saga,9.2,475.0,17.511721689746683,31.0,9.2,482
8659.0,Romantic Killer,7.6,1151.0,17.41495254806705,36.0,7.6,1157
119924.0,Human Resources,7.3,2704.0,17.39321791844932,20.0,7.2,7246
28716.0,Family,6.3,2906.0,17.38775737435662,288.0,8.0,8
12481.0,Oni: Thunder God's Tale,8.2,794.0,17.36705149467734,62.0,8.2,798
23050.0,Sasaki and Miyano,7.7,1032.0,17.273878303059153,82.0,7.7,1032
851.0,Dragon Age: Absolution,6.4,2026.0,17.27083914326681,9.0,6.4,2057
20189.0,Shikimori's Not Just a Cutie,6.7,1755.0,17.204603605303735,78.0,6.7,1759
8332.0,"Bastard!! Heavy Metal, Dark Fantasy",6.5,1726.0,17.113082437576143,34.0,6.5,1729
4355.0,Berserk: The Golden Age Arc - Memorial Edition,8.6,480.0,17.109167829206907,16.0,8.6,483
311.0,Sonic Prime,7.3,926.0,16.972662532261893,6.0,7.3,937
7658.0,Uncle from Another World,7.4,817.0,16.85328603477868,35.0,7.4,821
22939.0,Vampire in the Garden,6.7,1303.0,16.839375174462116,93.0,6.7,1307
61147.0,Sassy the Sasquatch,9.5,210.0,16.826917134879356,164.0,9.5,210
14421.0,Spriggan,6.8,1130.0,16.785327586382955,73.0,6.8,1131
18282.0,Skeleton Knight in Another World,6.9,1042.0,16.73791676927816,71.0,6.9,1045
