place,title,rate,vote
1.,Chainsaw Man,8.7,"20,179"
2.,Bleach: Thousand-Year Blood War,9.2,"13,923"
3.,Spy x Family,8.5,"24,677"
4.,Cyberpunk: Edgerunners,8.3,"47,639"
5.,Blue Lock,8.4,"3,367"
6.,Sonic Prime,7.3,937
7.,The Legend of Vox Machina,8.4,"25,257"
8.,Tales of the Jedi,8.3,"20,952"
9.,Dragon Age: Absolution,6.4,"2,057"
10.,Lookism,7.6,"1,929"
11.,Bocchi the Rock!,8.6,792
12.,Gudetama: An Eggcellent Adventure,7.5,658
13.,Little Demon,6.8,"3,160"
14.,The Eminence in Shadow,7.5,588
15.,Pantheon,8.2,"2,681"
16.,Berserk: The Golden Age Arc - Memorial Edition,8.6,483
17.,My Dress-Up Darling,8.1,"8,370"
18.,"More Than a Married Couple, But Not Lovers.",7.4,582
19.,Zootopia+,6.8,"3,189"
20.,Human Resources,7.2,"7,246"
21.,I Am Groot,6.7,"29,218"
22.,Cars on the Road,7.0,"2,575"
23.,Don't Hug Me I'm Scared,8.8,"3,014"
24.,The Cuphead Show!,7.4,"8,275"
25.,The Guardians of Justice (Will Save You!),5.0,"3,319"
26.,Summer Time Rendering,8.3,"2,173"
27.,Gremlins: Secrets of the Mogwai,7.8,31
28.,The Boys Presents: Diabolical,6.9,"13,316"
29.,Prehistoric Planet,8.5,"7,908"
30.,Farzar,5.6,"2,152"
31.,The Wingfeather Saga,9.2,482
32.,Beavis and Butt-Head,8.6,"1,584"
33.,Kung Fu Panda: The Dragon Knight,5.9,"1,576"
34.,"Bastard!! Heavy Metal, Dark Fantasy",6.5,"1,729"
35.,Uncle from Another World,7.4,821
36.,Romantic Killer,7.6,"1,157"
37.,Beast Tamer,6.6,305
38.,Mobile Suit Gundam: The Witch from Mercury,8.0,257
39.,Call of the Night,7.5,"1,594"
40.,Lost Ollie,7.8,"1,493"
41.,Transformers: Earthspark,6.1,422
42.,Exception,6.5,763
43.,The Proud Family: Louder and Prouder,6.3,"1,257"
44.,Baymax!,7.1,"6,990"
45.,Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,6.4,793
46.,Oddballs,6.5,791
47.,The Three-Body Problem,4.7,116
48.,Love Flops,5.7,153
49.,Hamster & Gretel,7.0,233
50.,Better Call Saul Presents: Slippin' Jimmy,2.8,"1,090"
51.,Lycoris Recoil,7.6,"1,425"
52.,Teletubbies,5.4,78
53.,Dead End: Paranormal Park,6.9,"2,353"
54.,Monster High,7.7,85
55.,Shinobi no Ittoki,6.2,283
56.,Immoral Guild,6.3,126
57.,Aoashi,8.1,"1,843"
58.,Tomodachi Game,7.5,"1,842"
59.,Urusei Yatsura,7.1,217
60.,Batwheels,6.5,150
61.,Akiba Maid War,7.4,250
62.,Oni: Thunder God's Tale,8.2,798
63.,Kotaro Lives Alone,8.4,"3,054"
64.,Bee & Puppycat: Lazy in Space,8.6,319
65.,Harem in the Labyrinth of Another World,6.2,733
66.,Tekken: Bloodline,6.6,"4,043"
67.,The Backrooms,8.6,138
68.,Firebuds,7.2,62
69.,Big Nate,7.4,457
70.,StoryBots: Answer Time,7.7,33
71.,Skeleton Knight in Another World,6.9,"1,045"
72.,My Little Pony: Make Your Mark,6.1,284
73.,Spriggan,6.8,"1,131"
74.,Daniel Spellbound,6.9,284
75.,Reincarnated as a Sword,7.2,393
76.,"I'm the Villainess, So I'm Taming the Final Boss",6.8,269
77.,Abominable and the Invisible City,7.5,63
78.,Shikimori's Not Just a Cutie,6.7,"1,759"
79.,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,7.2,876
80.,Black Summoner,7.1,611
81.,Alice's Wonderland Bakery,7.0,149
82.,Sasaki and Miyano,7.7,"1,032"
83.,The Greatest Demon Lord Is Reborn as a Typical Nobody,6.1,808
84.,Engage Kiss,6.4,445
85.,Black Rock Shooter: Dawn Fall,7.1,129
86.,Rosie's Rules,8.9,31
87.,Arknights: Reimei Zensou,6.4,136
88.,Ice Age: Scrat Tales,7.3,"2,033"
89.,Tatami Time Machine Blues,7.6,217
90.,The Creature Cases,7.3,128
91.,A Couple of Cuckoos,6.7,680
92.,We Baby Bears,6.0,317
93.,Vampire in the Garden,6.7,"1,307"
94.,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,5.7,171
95.,I'm Quitting Heroing,6.7,648
96.,Pokémon: The Arceus Chronicles,5.2,315
97.,The Boss Baby: Back in the Crib,6.1,226
98.,Thermae Romae Novae,7.0,940
99.,Samurai Rabbit: The Usagi Chronicles,6.5,496
100.,Do It Yourself!!,7.2,155
101.,Spirit Rangers,8.6,113
102.,The Yakuza's Guide to Babysitting,7.4,369
103.,Housing Complex C,6.1,237
